Aaron,Cynthia,G,"Court of Appeal, Fourth District"
Abbott,David,W,Sacramento County Superior Court
Abdallah,George,None,San Joaquin County Superior Court
Abdallah,George,None,San Joaquin County Superior Court
Abzug,Michael,D,Los Angeles County Superior Court
Acero,George,Albert,Sacramento County Superior Court
Acero,George,Albert,Sacramento County Superior Court
Aceves,Efrain,M,Los Angeles County Superior Court
Acquisto,Stephen,P,Sacramento County Superior Court
Acquisto,Stephen,P,Sacramento County Superior Court
Adams,Charles,F,Santa Clara County Superior Court
Adams,Charles,F,Santa Clara County Superior Court
Adams,John,S,Orange County Superior Court
Adams,John,S,Orange County Superior Court
Adams,Rashida,None,Los Angeles County Superior Court
Adams,Rashida,None,Los Angeles County Superior Court
Adams,Verna,A,Marin County Superior Court
Adams Jr.,Thomas,R,Santa Barbara County Superior Court
Adams Jr.,Thomas,R,Santa Barbara County Superior Court
Aenlle-Rocha,Fernando,None,Los Angeles County Superior Court
Agbayani,Antonino,J,San Joaquin County Superior Court
Agbayani,Antonino,J,San Joaquin County Superior Court
Agron,Joel,S,San Bernardino County Superior Court
Agron,Joel,S,San Bernardino County Superior Court
Aguirre,Frederick,P,Orange County Superior Court
Ahnn,Michelle,M,Los Angeles County Superior Court
Ahnn,Michelle,M,Los Angeles County Superior Court
Alarcon,Gregory,W,Los Angeles County Superior Court
Albers,Ronald,E,San Francisco County Superior Court
Alcala,Javier,None,Santa Clara County Superior Court
Alcala,Javier,None,Santa Clara County Superior Court
Aldrich,Richard,D,"Court of Appeal, Second District"
Alexander,Daniel,None,Los Angeles County Superior Court
Alexander,Erin,K,San Bernardino County Superior Court
Alexander,Erin,K,San Bernardino County Superior Court
Alexander,Rasheed,None,San Bernardino County Superior Court
Alksne,Lorna,A,San Diego County Superior Court
Allard III,Edward,P,San Diego County Superior Court
Alldredge,Brett,None,Tulare County Superior Court
Allen-Hill,Glenda,None,Fresno County Superior Court
Alloggiamento,Julia,None,Santa Clara County Superior Court
Almada,Manuel,Alejandro,Los Angeles County Superior Court
Almada,Manuel,Alejandro,Los Angeles County Superior Court
Almquist,John Jeffrey,None,Santa Cruz County Superior Court
Altamirano,Diane,B,Imperial County Superior Court
Alva,Jose,L,San Joaquin County Superior Court
Alva,Jose,L,San Joaquin County Superior Court
Alvarez,Claudia,C.,Orange County Superior Court
Alvarez,Claudia,C.,Orange County Superior Court
Alvarez,Donald,R,San Bernardino County Superior Court
Alvarez,Donald,R,San Bernardino County Superior Court
Alvarez,Frank,B,Fresno County Superior Court
Alvarez,Olga,None,San Diego County Superior Court
Alvarez,Olga,None,San Diego County Superior Court
Amador,Frank,None,Los Angeles County Superior Court
Amador,Robert,O,San Diego County Superior Court
Amador,Robert,O,San Diego County Superior Court
Ameral,Ann,Q,Stanislaus County Superior Court
Amerian,Michael,R,Los Angeles County Superior Court
Amerian,Michael,R,Los Angeles County Superior Court
Amin,Marsha,None,San Diego County Superior Court
Anderholt,L. Brooks,None,Imperial County Superior Court
Anderle,Thomas,P,Santa Barbara County Superior Court
Anderson,Johnnetta,E,Riverside County Superior Court
Anderson,Johnnetta,E,Riverside County Superior Court
Anderson,Marla,O,Monterey County Superior Court
Anderson,Matthew,S,Orange County Superior Court
Anderson,Matthew,S,Orange County Superior Court
Anderson,Thomas,M,Nevada County Superior Court
Anderson,Thomas,M,Nevada County Superior Court
Anderson III,Clifford,R,Santa Barbara County Superior Court
Andler,Gail,None,Orange County Superior Court
Angel,Annrae,Marie,Santa Cruz County Superior Court
Apaloo,Khymberli,S,San Bernardino County Superior Court
Apkarian,Gassia,None,Orange County Superior Court
Apkarian,Isabel,None,Orange County Superior Court
Appel,Robin,None,San Joaquin County Superior Court
Appel,Robin,None,San Joaquin County Superior Court
Applegate,Robert,P,Los Angeles County Superior Court
Arakaki,Akemi,D,Los Angeles County Superior Court
Arakaki,Akemi,D,Los Angeles County Superior Court
Arand,Mary,E,Santa Clara County Superior Court
Arand,Mary,E,Santa Clara County Superior Court
Arax,Brian,M,Fresno County Superior Court
Archuleta,Debra,None,Los Angeles County Superior Court
Arguelles,James,P,Sacramento County Superior Court
Arian,Lee,None,Los Angeles County Superior Court
Armand,Jason,Michael,Riverside County Superior Court
Armendariz,Lucy,M,Los Angeles County Superior Court
Armendariz,Maria,None,Los Angeles County Superior Court
Armour,Carlos,O,San Diego County Superior Court
Armour,Carlos,O,San Diego County Superior Court
Arnold,Mark,None,Los Angeles County Superior Court
Arnold,Mark,None,Los Angeles County Superior Court
Aronson,Brian,R,Sutter County Superior Court
Aronson,Richard,None,"Court of Appeal, Fourth District"
Arroyo,Jacqueline,M,Santa Clara County Superior Court
Arroyo,Jacqueline,M,Santa Clara County Superior Court
Arthur,Craig,E,Orange County Superior Court
Asberry,Irma,P,Riverside County Superior Court
Asberry,Irma,P,Riverside County Superior Court
Ash,Carol,K,Merced County Superior Court
Ash,Carol,K,Merced County Superior Court
Ashby,David,None,Sutter County Superior Court
